sample,posture,total_cpu_percent
1,settings_demo_open,6.1
2,settings_demo_open,7.5
3,settings_demo_open,7.7
4,settings_demo_open,6.8
5,settings_demo_open,5.0
6,settings_demo_open,7.7
7,settings_demo_open,7.2
8,settings_demo_open,6.5
9,settings_demo_open,6.5
10,settings_demo_open,6.5
