timestamp,label,pids,total_cpu,total_rss_kb
2026-05-15T00:23:20.760Z,night-drive,92142+92147+92148+92150+92151,39.1,519904
2026-05-15T00:23:25.788Z,night-drive,92142+92147+92148+92150+92151,39.9,520000
2026-05-15T00:23:30.812Z,night-drive,92142+92147+92148+92150+92151,41.4,519680
2026-05-15T00:23:35.834Z,night-drive,92142+92147+92148+92150+92151,39.2,520128
2026-05-15T00:23:40.858Z,night-drive,92142+92147+92148+92150+92151,36.0,520384
2026-05-15T00:23:45.879Z,night-drive,92142+92147+92148+92150+92151,38.1,520112
2026-05-15T00:23:50.902Z,night-drive,92142+92147+92148+92150+92151,33.0,520368
2026-05-15T00:23:55.927Z,night-drive,92142+92147+92148+92150+92151,45.7,517216
2026-05-15T00:24:00.958Z,night-drive,92142+92147+92148+92150+92151,37.9,516832
2026-05-15T00:24:05.987Z,night-drive,92142+92147+92148+92150+92151,35.8,516880
2026-05-15T00:24:11.016Z,night-drive,92142+92147+92148+92150+92151,40.3,521760
2026-05-15T00:24:16.044Z,night-drive,92142+92147+92148+92150+92151,39.1,517024
