sample,posture,total_cpu_percent
1,balanced_20fps_overlay_only,7.2
2,balanced_20fps_overlay_only,8.7
3,balanced_20fps_overlay_only,9.1
4,balanced_20fps_overlay_only,8.7
5,balanced_20fps_overlay_only,7.3
6,balanced_20fps_overlay_only,7.6
7,balanced_20fps_overlay_only,7.3
8,balanced_20fps_overlay_only,7.3
